"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 06 12:21:26 UTC 2026","Mon Apr 06 12:21:26 UTC 2026","283","Bookstore API Suite","Bookstore Tests","tests.BooksEdgeTest","tests.BooksEdgeTest","updateBook_emptyPayload","updateBook_emptyPayload","Verify that updating a book with an empty payload returns HTTP 400"
"passed","Mon Apr 06 12:21:25 UTC 2026","Mon Apr 06 12:21:26 UTC 2026","289","Bookstore API Suite","Bookstore Tests","tests.BooksEdgeTest","tests.BooksEdgeTest","deleteBook_invalidPathParameter","deleteBook_invalidPathParameter","Verify that deleting a book with an invalid path parameter returns HTTP 400"
"passed","Mon Apr 06 12:21:29 UTC 2026","Mon Apr 06 12:21:30 UTC 2026","279","Bookstore API Suite","Bookstore Tests","tests.AuthorsEdgeTest","tests.AuthorsEdgeTest","deleteAuthor_invalidPathParameter","deleteAuthor_invalidPathParameter","Verify that deleting an author with an invalid path parameter returns HTTP 400"
"passed","Mon Apr 06 12:21:25 UTC 2026","Mon Apr 06 12:21:25 UTC 2026","296","Bookstore API Suite","Bookstore Tests","tests.BooksEdgeTest","tests.BooksEdgeTest","createBooks_emptyPayload","createBooks_emptyPayload","Verify that creating a book with an empty request body returns HTTP 400"
"passed","Mon Apr 06 12:21:28 UTC 2026","Mon Apr 06 12:21:29 UTC 2026","279","Bookstore API Suite","Bookstore Tests","tests.AuthorsEdgeTest","tests.AuthorsEdgeTest","createAuthor_invalidDataTypes","createAuthor_invalidDataTypes","Verify that creating an author with invalid data types returns HTTP 400"
"passed","Mon Apr 06 12:21:30 UTC 2026","Mon Apr 06 12:21:30 UTC 2026","285","Bookstore API Suite","Bookstore Tests","tests.AuthorsEdgeTest","tests.AuthorsEdgeTest","getAuthorById_nonExistentID","getAuthorById_nonExistentID","Verify that requesting an author with a non-existent ID returns HTTP 404"
"passed","Mon Apr 06 12:21:30 UTC 2026","Mon Apr 06 12:21:31 UTC 2026","289","Bookstore API Suite","Bookstore Tests","tests.AuthorsEdgeTest","tests.AuthorsEdgeTest","updateAuthor_invalidDataTypes","updateAuthor_invalidDataTypes","Verify that updating an author with invalid data types returns HTTP 400"
"passed","Mon Apr 06 12:21:23 UTC 2026","Mon Apr 06 12:21:23 UTC 2026","319","Bookstore API Suite","Bookstore Tests","tests.BooksTest","tests.BooksTest","deleteBook_shouldReturnSuccess","deleteBook_shouldReturnSuccess","Verify that deleting a book with a valid ID returns HTTP 200 success response"
"passed","Mon Apr 06 12:21:21 UTC 2026","Mon Apr 06 12:21:23 UTC 2026","1873","Bookstore API Suite","Bookstore Tests","tests.BooksTest","tests.BooksTest","createBooks_shouldReturnValidResponse","createBooks_shouldReturnValidResponse","Verify that creating a book returns a valid response and matches with the request"
"passed","Mon Apr 06 12:21:24 UTC 2026","Mon Apr 06 12:21:24 UTC 2026","308","Bookstore API Suite","Bookstore Tests","tests.BooksTest","tests.BooksTest","updateBook_shouldReturnUpdatedData","updateBook_shouldReturnUpdatedData","Verify that updating a book modifies and returns the correct updated data"
"passed","Mon Apr 06 12:21:26 UTC 2026","Mon Apr 06 12:21:26 UTC 2026","299","Bookstore API Suite","Bookstore Tests","tests.BooksEdgeTest","tests.BooksEdgeTest","getBookById_nonExistentID","getBookById_nonExistentID","Verify that requesting a book with a non-existent ID returns HTTP 404"
"passed","Mon Apr 06 12:21:29 UTC 2026","Mon Apr 06 12:21:29 UTC 2026","274","Bookstore API Suite","Bookstore Tests","tests.AuthorsEdgeTest","tests.AuthorsEdgeTest","createAuthors_emptyFields","createAuthors_emptyFields","Verify that creating an author with empty required fields returns HTTP 400"
"passed","Mon Apr 06 12:21:30 UTC 2026","Mon Apr 06 12:21:30 UTC 2026","286","Bookstore API Suite","Bookstore Tests","tests.AuthorsEdgeTest","tests.AuthorsEdgeTest","updateAuthor_emptyFields","updateAuthor_emptyFields","Verify that updating an author with empty required fields returns HTTP 400"
"passed","Mon Apr 06 12:21:27 UTC 2026","Mon Apr 06 12:21:28 UTC 2026","284","Bookstore API Suite","Bookstore Tests","tests.AuthorsTest","tests.AuthorsTest","getAuthorsById_shouldReturnValidAuthor","getAuthorsById_shouldReturnValidAuthor","Verify that fetching an author by valid ID returns correct and valid author data"
"passed","Mon Apr 06 12:21:27 UTC 2026","Mon Apr 06 12:21:27 UTC 2026","295","Bookstore API Suite","Bookstore Tests","tests.AuthorsTest","tests.AuthorsTest","createAuthor_shouldReturnValidResponse","createAuthor_shouldReturnValidResponse","Verify that creating an author returns a valid response and persisted data matches request"
"passed","Mon Apr 06 12:21:26 UTC 2026","Mon Apr 06 12:21:27 UTC 2026","290","Bookstore API Suite","Bookstore Tests","tests.BooksEdgeTest","tests.BooksEdgeTest","updateBook_invalidDataTypes","updateBook_invalidDataTypes","Verify that updating a book with invalid data types returns HTTP 400"
"passed","Mon Apr 06 12:21:29 UTC 2026","Mon Apr 06 12:21:29 UTC 2026","283","Bookstore API Suite","Bookstore Tests","tests.AuthorsEdgeTest","tests.AuthorsEdgeTest","createAuthors_emptyPayload","createAuthors_emptyPayload","Verify that creating an author with an empty request body returns HTTP 400"
"passed","Mon Apr 06 12:21:25 UTC 2026","Mon Apr 06 12:21:25 UTC 2026","291","Bookstore API Suite","Bookstore Tests","tests.BooksEdgeTest","tests.BooksEdgeTest","createBooks_invalidDataTypes","createBooks_invalidDataTypes","Verify that creating a book with invalid data types returns HTTP 400"
"passed","Mon Apr 06 12:21:28 UTC 2026","Mon Apr 06 12:21:28 UTC 2026","287","Bookstore API Suite","Bookstore Tests","tests.AuthorsTest","tests.AuthorsTest","updateAuthor_shouldReturnUpdatedData","updateAuthor_shouldReturnUpdatedData","Verify that updating an author modifies and returns the correct updated data"
"passed","Mon Apr 06 12:21:28 UTC 2026","Mon Apr 06 12:21:28 UTC 2026","661","Bookstore API Suite","Bookstore Tests","tests.AuthorsTest","tests.AuthorsTest","getBooks_shouldReturnNonEmptyList","getBooks_shouldReturnNonEmptyList","Verify that fetching all authors returns a non-empty list with valid author data"
"passed","Mon Apr 06 12:21:23 UTC 2026","Mon Apr 06 12:21:23 UTC 2026","313","Bookstore API Suite","Bookstore Tests","tests.BooksTest","tests.BooksTest","getBookById_shouldReturnValidBook","getBookById_shouldReturnValidBook","Verify that fetching a book by valid ID returns correct and valid book data"
