"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 06 11:13:09 UTC 2026","Mon Apr 06 11:13:09 UTC 2026","313","Bookstore API Suite","Bookstore Tests","tests.AuthorsTest","tests.AuthorsTest","getAuthorsById_shouldReturnValidAuthor","getAuthorsById_shouldReturnValidAuthor","Verify that fetching an author by valid ID returns correct and valid author data"
"passed","Mon Apr 06 11:13:08 UTC 2026","Mon Apr 06 11:13:09 UTC 2026","326","Bookstore API Suite","Bookstore Tests","tests.AuthorsTest","tests.AuthorsTest","deleteAuthor_shouldReturnSuccess","deleteAuthor_shouldReturnSuccess","Verify that deleting an author with a valid ID returns HTTP 200 success response"
"passed","Mon Apr 06 11:13:04 UTC 2026","Mon Apr 06 11:13:05 UTC 2026","885","Bookstore API Suite","Bookstore Tests","tests.BooksTest","tests.BooksTest","getBooks_shouldReturnNonEmptyList","getBooks_shouldReturnNonEmptyList","Verify that fetching all books returns a non-empty list with valid book data"
"passed","Mon Apr 06 11:13:05 UTC 2026","Mon Apr 06 11:13:05 UTC 2026","341","Bookstore API Suite","Bookstore Tests","tests.BooksTest","tests.BooksTest","updateBook_shouldReturnUpdatedData","updateBook_shouldReturnUpdatedData","Verify that updating a book modifies and returns the correct updated data"
"passed","Mon Apr 06 11:13:10 UTC 2026","Mon Apr 06 11:13:11 UTC 2026","315","Bookstore API Suite","Bookstore Tests","tests.AuthorsEdgeTest","tests.AuthorsEdgeTest","createAuthors_emptyPayload","createAuthors_emptyPayload","Verify that creating an author with an empty request body returns HTTP 400"
"passed","Mon Apr 06 11:13:10 UTC 2026","Mon Apr 06 11:13:10 UTC 2026","310","Bookstore API Suite","Bookstore Tests","tests.AuthorsEdgeTest","tests.AuthorsEdgeTest","createAuthor_invalidDataTypes","createAuthor_invalidDataTypes","Verify that creating an author with invalid data types returns HTTP 400"
"passed","Mon Apr 06 11:13:10 UTC 2026","Mon Apr 06 11:13:10 UTC 2026","319","Bookstore API Suite","Bookstore Tests","tests.AuthorsEdgeTest","tests.AuthorsEdgeTest","createAuthors_emptyFields","createAuthors_emptyFields","Verify that creating an author with empty required fields returns HTTP 400"
"passed","Mon Apr 06 11:13:07 UTC 2026","Mon Apr 06 11:13:07 UTC 2026","324","Bookstore API Suite","Bookstore Tests","tests.BooksEdgeTest","tests.BooksEdgeTest","getBookById_nonExistentID","getBookById_nonExistentID","Verify that requesting a book with a non-existent ID returns HTTP 404"
"passed","Mon Apr 06 11:13:08 UTC 2026","Mon Apr 06 11:13:08 UTC 2026","327","Bookstore API Suite","Bookstore Tests","tests.BooksEdgeTest","tests.BooksEdgeTest","updateBook_invalidDataTypes","updateBook_invalidDataTypes","Verify that updating a book with invalid data types returns HTTP 400"
"passed","Mon Apr 06 11:13:06 UTC 2026","Mon Apr 06 11:13:07 UTC 2026","323","Bookstore API Suite","Bookstore Tests","tests.BooksEdgeTest","tests.BooksEdgeTest","deleteBook_invalidPathParameter","deleteBook_invalidPathParameter","Verify that deleting a book with an invalid path parameter returns HTTP 400"
